SDG Alignment,SDG,Indicator,Indicator name,Description,Year,Units,Included MSAs,Geographic Level,Source,Min,Max,Sort Order,Target Value,To Green,To Yellow,To Orange,Worst Value,Threshold Rationale,Global Indicator,State Indicator,Changes from 2018
Target 3.5,3,sdg3v7_overdoseRWJ,Drug overdose deaths,"Number of deaths due to drug poisoning per 100,000 population",2015-2017,"Count per 100,000 people",105,County,"County Health Rankings, University of Wisconsin Population Health Institute",3,57,descending,7,11,18,24,34,Best value set according to average of top 5.  Worst value and dashboard set according to SDSN US State Index. ,n,y,New indicator
Goal 3,3,sdg3v8_leRWJ,Life expectancy at birth,Age-adjusted life expectancy from birth,2015-2017,Years,105,County,"County Health Rankings, University of Wisconsin Population Health Institute using National Center for Health Statistics - Mortality Files",75,84,ascending,83,80,79,77,76,Best value set according to SDSN US State Index.  Worst value set according to 2.5th percentile. Dashboard set according to SDSN US State Index.,y,y,New indicator
Target 10.4,3,sdg3v9_healthinsurance,Health insurance coverage,Percentage of the population with health insurance,2017,%,105,MSA,"American Community Survey, US Census Bureau",70,97,ascending,100,98,93,87,80,Best value set according to universal access: public service.  Worst value and dashboard set according to 2018 SDSN US Cities Index.,y,y,Moved indicator from SDG 10 to SDG 3
Target 4.2,4,sdg4v2_preschool,Early education,Percentage of population aged 3-4 enrolled in school,2017,%,105,MSA,"American Community Survey, US Census Bureau",31,70,ascending,100,80,50,35,34,"Best value set according to SDG mandate to ensure that all have access to pre-primary education.  Worst value set according to 2.5th percentile. Dashboard set according to summary statistics, and adjusted for clustering.",n,y,Updated year
Target 4.3,4,sdg4v3_tertiaryed,Higher education,Percentage of the population aged 25-34 with a bachelor’s degree or higher,2017,%,105,MSA,"American Community Survey, US Census Bureau",13,59,ascending,57,45,36,26,17,"Best value set according to average of top 5.  Worst value set according to 2.5th percentile. Dashboard set according to summary statistics, and adjusted for clustering.",y,y,Changed age range from 25+ to 25-34
Target 4.1,4,sdg4v4_HSgradRWJ,High school graduation rate,Percentage of ninth-grade cohort that graduates in four years,2016-2017,%,105,County,"County Health Rankings, University of Wisconsin Population Health Institute",70,92,ascending,91,89,85,80,76,"Best value set according to average of top 5.  Worst value set according to 2.5th percentile. Dashboard set according to summary statistics, and adjusted for clustering.",n,y,New indicator
Target 4.5,4,sdg4v5_schoolpov,School poverty disparity,Percentage-point disparity in attending a high poverty school (>75% Free and Reduced Price Lunch) between white people and people of color,2016,Percentage points,105,MSA,"PolicyLink/PERE, National Equity Atlas",3,54,descending,0,5,28,40,49,"Best value set according to Leave No One Behind.  Worst value set according to 2.5th percentile. Dashboard set according to summary statistics, and adjusted for clustering.",n,n,New indicator
Target 5.1,5,sdg5v1_wagegap,Gender wage gap,"Percentage of men’s earnings that women earn, when comparing full-time workers over the age of 16",2017,%,105,MSA,"American Community Survey, US Census Bureau",47,85,ascending,100,90,80,72,60,Best value set according to SDG mandate to end all forms of discrimination against all women and girls everywhere. Worst value set using 2.5th percentile and adjusted further for skewness and kurtosis. Dashboard set according to SDSN US State Index.,y,y,Updated year
Target 5.5,5,sdg5v2_wbusiness,Women-owned businesses,"Percentage of individual-owned businesses that are owned by women. Excludes businesses owned by both women and men, and is limited to businesses whose ownership can be classified by gender (excludes jointly owned and publicly owned firms)",2012,%,105,MSA,"Survey of Business Owners, US Census Bureau",33,49,ascending,50,45,40,35,34,Best value set according to SDG mandate to ensure women’s full and effective participation.  Worst value and dashboard set according to SDSN US State Index.,n,y,"None, same data"
Target 5.5,5,sdg5v4_womeningov,Women in government,Percentage of women in city government. City-level data for main cities used as a proxy for MSA.,2016,%,81,City,The Reflective Democracy Campaign,0,67,ascending,50,40,30,20,14,Best value set according to SDG mandate to ensure women’s full and effective participation.  Worst value and dashboard set according to SDSN US State Index. ,y,y,New indicator
Target 6.1,6,sdg6v1_waterviolation,Safe drinking water violations,Population-weighted average of the percent of population in each county served by a community water system with at least one Safe Drinking Water Act violation,2015,%,105,County,"Natural Resources Defense Council, using EPA",0,88,descending,0,2,5,10,79,"Best value set according to SDG mandate to achieve universal and equitable access to safe and affordable drinking water for all.  Worst value set according to 2.5th percentile. Dashboard set according to summary statistics, and adjusted for clustering.",n,y,New indicator
Target 6.4,6,sdg6v3_domesticwatercapita,Water conservation,"Domestic water use, in gallons per person per day",2015,gallons/person/day,105,County,US Geological Survey,32,254,descending,41,51,83,115,185,"Best value set according to average of top 5. Worst value set using 2.5th percentile and adjusted further for skewness and kurtosis. Dashboard set according to summary statistics, and adjusted for clustering.",n,n,New indicator
Target 6.3,6,sdg6v4_waterreleasechange,Water pollution,"Annual percentage change in toxic chemicals released into water from production-related waste, in pounds per square mile, 2012-2017",2012-2017,%,104,County,"Toxic Release Inventory National Analysis, Environmental Protection Agency",-21,2777,descending,-21,-2,0,322,293,Best value set according to average of top 5.  Worst value set according to 2.5th percentile. Dashboard set according to expert guidance.,n,n,New indicator
Target 7.1,7,sdg7v1_energyburden,Low-income energy burden,Percentage of income spent on household energy by those at less than 50% of the poverty level,2018,%,105,County,"Fisher Sheehan & Colton, Home Energy Affordability Gap",20,87,descending,2,3,6,11,50,Best value set according to expert guidance. Worst value set using 2.5th percentile and adjusted further for skewness and kurtosis. Dashboard set according to expert guidance.,n,y,New indicator
Target 7.2,7,sdg7v2_renewableprod,Renewable energy production,"Percentage of energy produced within the state from wind, solar, geothermal, biomass and hydroelectric. Value of the state was applied to all MSAs within the state.",2016,%,105,State,US Energy Information Administration,2,100,ascending,100,75,40,5,1,"Best value, worst value and dashboard set according to SDSN US State Index.",n,y,Changed from low-carbon energy generation to renewable production
Target 7.2,7,sdg7v3_renewablecons,Renewable energy consumption,"Percentage of energy consumed within the state from wind, solar, geothermal, biomass and hydroelectric. Value of the state was applied to all MSAs within the state.",2016,%,105,State,US Energy Information Administration,1,48,ascending,38,23,13,5,4,"Best value, worst value and dashboard set according to SDSN US State Index.",y,y,New indicator
Target 8.1,8,sdg8v1_GDPgrowth,Real GDP growth,5-year average of annual real GDP percentage growth rates,2013-2017,%,105,MSA,Bureau of Economic Analysis,-2,8,ascending,6,4,3,2,0,"Best value, worst value and dashboard set according to 2018 SDSN US City Index.",y,y,Updated year
Target 8.6,8,sdg8v2_neets,"Youth not in employment, education or training (NEET)",Percentage of youth aged 16-24 who are not enrolled in school (full- or part-time) and not employed (full- or part-time),2016,%,97,MSA,Measure of America,6,21,descending,7,10,13,15,20,Best value set according to average of top 5. Worst value and dashboard set according to 2018 SDSN US Cities Index. ,y,y,Updated year
Target 8.5,8,sdg8v3_unemployment,Unemployment rate,"Unemployment rate, ages 20-64",2017,%,105,MSA,"American Community Survey, US Census Bureau",2,9,descending,3,4,5,6,7,"Best value set according to average of top 5.  Worst value set according to 2.5th percentile. Dashboard set according to summary statistics, and adjusted for clustering.",y,y,"New source, and updated calculation methodology"
Target 9.5,9,sdg9v1_STEMjobs,STEM employment,"Percentage of workers 16 and over in computer, science, engineering, healthcare practitioner and technical occupations",2017,%,105,MSA,"American Community Survey, US Census Bureau",7,23,ascending,17,15,12,9,8,"Best value, worst value and dashboard set according to 2018 SDSN US Cities Index.",n,y,Moved indicator from SDG 8 to SDG 9
Target 9.5,9,sdg9v2_patents,Patents,"Utility patent grants per 1,000 individuals in STEM occupations (includes computer, science, engineering, healthcare practitioner and technical occupations)",2015,"Count per 1,000 STEM workers",105,MSA,"US Patent and Trademark Office & American Community Survey, US Census Bureau",1,68,ascending,23,16,9,2,1,"Best value set according to average of top 5. Worst value set using 2.5th percentile and adjusted further for skewness and kurtosis. Dashboard set according to summary statistics, and adjusted for clustering.",y,y,Changed denominator from all workers to STEM workers
Target 9.c,9,sdg9v3_broadband,Broadband access,"Percentage of households with broadband internet subscription, such as cable, fiber optic or DSL",2017,%,105,MSA,"American Community Survey, US Census Bureau",45,83,ascending,100,77,71,64,56,"Best value set according to universal access: public service.  Worst value set according to 2.5th percentile. Dashboard set according to summary statistics, and adjusted for clustering.",y,y,Updated year 
